Epoch: 101/8192..  Training Loss: 739.930..  Test Loss: 33157.111.. 
Epoch: 5401/8192..  Training Loss: 515.661..  Test Loss: 6145.143.. 
Epoch: 5501/8192..  Training Loss: 284.901..  Test Loss: 8589.924.. 
Epoch: 5601/8192..  Training Loss: 265.465..  Test Loss: 11268.164.. 
Epoch: 5701/8192..  Training Loss: 226.712..  Test Loss: 3017.345.. 
Epoch: 5801/8192..  Training Loss: 322.164..  Test Loss: 8397.688.. 
Epoch: 5901/8192..  Training Loss: 212.590..  Test Loss: 10993.136.. 
Epoch: 6001/8192..  Training Loss: 220.349..  Test Loss: 11623.405.. 
Epoch: 6101/8192..  Training Loss: 530.495..  Test Loss: 25058.513.. 
Epoch: 6201/8192..  Training Loss: 384.567..  Test Loss: 5955.876.. 
Epoch: 6301/8192..  Training Loss: 816.200..  Test Loss: 3022.234.. 
Epoch: 6401/8192..  Training Loss: 261.258..  Test Loss: 2665.947.. 
Epoch: 6501/8192..  Training Loss: 368.870..  Test Loss: 20714.928.. 
Epoch: 6601/8192..  Training Loss: 291.988..  Test Loss: 5283.432.. 
Epoch: 6701/8192..  Training Loss: 207.195..  Test Loss: 12459.378.. 
Epoch: 6801/8192..  Training Loss: 160.993..  Test Loss: 10152.671.. 
Epoch: 6901/8192..  Training Loss: 336.076..  Test Loss: 13289.402.. 
Epoch: 7001/8192..  Training Loss: 281.562..  Test Loss: 7271.496.. 
Epoch: 7101/8192..  Training Loss: 325.361..  Test Loss: 8002.383.. 
Epoch: 7201/8192..  Training Loss: 164.249..  Test Loss: 6655.636.. 
Epoch: 7301/8192..  Training Loss: 246.196..  Test Loss: 26967.007.. 
Epoch: 7401/8192..  Training Loss: 225.387..  Test Loss: 10474.581.. 
Epoch: 7501/8192..  Training Loss: 273.477..  Test Loss: 10579.611.. 
Epoch: 7601/8192..  Training Loss: 284.078..  Test Loss: 8412.184.. 
Epoch: 7701/8192..  Training Loss: 117.942..  Test Loss: 2765.356.. 
Epoch: 7801/8192..  Training Loss: 179.693..  Test Loss: 7983.705.. 
Epoch: 7901/8192..  Training Loss: 124.576..  Test Loss: 2767.319.. 
Epoch: 8001/8192..  Training Loss: 113.342..  Test Loss: 3128.517.. 
Epoch: 8101/8192..  Training Loss: 392.130..  Test Loss: 2358.109.. 

Process finished with exit code 0
